Season,Pos,Player,Team,GP,P Yds,P Comp,P TD,INT,Ru Yds,Ru TD,Rec,Rec Yds,Rec TD,Actual FFP,Projected FFP,Diff Perc,Top Prospect,Bottom Prospect,Pos Tier,Pos Prospect Mean Diff,Pos Prospect SD
2023,RB,Justice Hill,BAL,16,,,,,387,3,28,206,1,97,21,358%,FALSE,TRUE,RB3,16%,123%
2023,RB,Ke'Shawn Vaughn,NE,6,,,,,42,,2,2,,5,20,-73%,FALSE,TRUE,RB3,16%,123%
2023,RB,D'Ernest Johnson,JAC,17,,,,,108,,10,140,,30,18,61%,FALSE,TRUE,RB3,16%,123%
2023,RB,Boston Scott,LA,15,,,,,86,,4,52,,16,18,-12%,FALSE,TRUE,RB3,16%,123%
2023,RB,Mike Boone,CAR,9,,,,,23,,7,40,,10,17,-43%,FALSE,TRUE,RB3,16%,123%
2023,RB,DeeJay Dallas,ARI,17,,,,,,,6,26,,6,16,-66%,FALSE,TRUE,RB3,16%,123%
2023,RB,Emanuel Wilson,GB,7,,,,,85,,4,23,,13,16,-18%,FALSE,TRUE,RB3,16%,123%
2023,RB,Anthony McFarland,PIT,3,,,,,,,2,11,,2,13,-84%,FALSE,TRUE,RB3,16%,123%
2023,RB,Emari Demercado,ARI,14,,,,,284,2,21,119,,63,12,411%,FALSE,TRUE,RB3,16%,123%
2023,RB,Israel Abanikanda,NYJ,6,,,,,70,,7,43,,15,11,30%,FALSE,TRUE,RB3,16%,123%
2023,RB,Craig Reynolds,DET,17,,,,,179,1,5,47,,31,6,446%,FALSE,TRUE,RB3,16%,123%
2023,WR,Van Jefferson,PIT,12,,,,,4,,12,101,,17,130,-87%,FALSE,TRUE,WR3,12%,88%
2023,WR,Marvin Mims,DEN,16,,,,,30,,22,377,1,58,129,-55%,FALSE,TRUE,WR3,12%,88%
2023,WR,Curtis Samuel,BUF,16,,,,,39,1,62,613,4,126,129,-2%,FALSE,TRUE,WR3,12%,88%
2023,WR,Darius Slayton,NYG,17,,,,,,,50,770,4,126,121,4%,FALSE,TRUE,WR3,12%,88%
2023,WR,Michael Wilson,ARI,13,,,,,,,38,565,3,94,120,-22%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jayden Reed,GB,16,,,,,119,2,64,793,8,183,119,54%,FALSE,TRUE,WR3,12%,88%
2023,WR,Elijah Moore,CLE,17,,,,,11,,59,640,2,107,119,-10%,FALSE,TRUE,WR3,12%,88%
2023,WR,Kadarius Toney,KC,13,,,,,31,,27,169,1,40,116,-66%,FALSE,TRUE,WR3,12%,88%
2023,WR,Nico Collins,HOU,15,,,,,7,,80,1297,8,218,115,90%,FALSE,TRUE,WR3,12%,88%
2023,WR,K.J. Osborn,NE,16,,,,,,,48,540,3,96,114,-16%,FALSE,TRUE,WR3,12%,88%
2023,WR,Josh Downs,IND,17,,,,,,,68,771,2,123,114,8%,FALSE,TRUE,WR3,12%,88%
2023,WR,DJ Chark,LAC,15,,,,,,,35,525,5,100,113,-12%,FALSE,TRUE,WR3,12%,88%
2023,WR,DeVante Parker,PHI,13,,,,,,,33,394,,56,112,-50%,FALSE,TRUE,WR3,12%,88%
2023,WR,Robert Woods,HOU,14,,,,,7,,40,426,1,69,110,-37%,FALSE,TRUE,WR3,12%,88%
2023,WR,Rondale Moore,ATL,17,,,,,178,1,40,352,1,85,99,-14%,FALSE,TRUE,WR3,12%,88%
2023,WR,Jameson Williams,DET,12,,,,,29,1,24,354,2,68,97,-30%,FALSE,TRUE,WR3,12%,88%
2023,WR,Darnell Mooney,ATL,15,,,,,5,,31,414,1,63,96,-34%,FALSE,TRUE,WR3,12%,88%
2023,WR,Rashod Bateman,BAL,16,,,,,18,,32,367,1,61,96,-37%,FALSE,TRUE,WR3,12%,88%
2023,WR,Alec Pierce,IND,17,,,,,,,32,514,2,79,94,-16%,FALSE,TRUE,WR3,12%,88%
2023,WR,Michael Gallup,LV,17,,,,,,,34,418,2,71,93,-24%,FALSE,TRUE,WR3,12%,88%
2023,WR,Justyn Ross,KC,10,,,,,,,6,53,,8,92,-91%,FALSE,TRUE,WR3,12%,88%
2023,WR,Allen Robinson,NYG,17,,,,,,,34,280,,45,92,-51%,FALSE,TRUE,WR3,12%,88%
2023,WR,Marvin Jones,DET,6,,,,,,,5,35,,6,92,-93%,FALSE,TRUE,WR3,12%,88%
2023,WR,Noah Brown,HOU,10,,,,,-1,,33,567,2,85,91,-6%,FALSE,TRUE,WR3,12%,88%
2023,WR,Mecole Hardman,KC,6,,,,,3,,14,118,,19,90,-79%,FALSE,TRUE,WR3,12%,88%
2023,WR,Laviska Shenault,SEA,8,,,,,55,,10,60,,17,90,-82%,FALSE,TRUE,WR3,12%,88%
2023,WR,Isaiah Hodgins,NYG,17,,,,,,,21,230,3,52,89,-42%,FALSE,TRUE,WR3,12%,88%
